query_id,resume_text,target_role_family,difficulty
1,"Worked on predictive modeling, classification, and model evaluation in Python. Built experiments on structured datasets and communicated findings to stakeholders.",data_science,easy
2,"Experience with forecasting, feature engineering, and statistical modeling. Main focus was building models and analyzing performance.",data_science,easy
3,"Used Python, pandas, regression, and experimentation analysis for model-driven work. Focused on prediction and error analysis.",data_science,easy
4,"Worked on predictive modeling, classification, and model evaluation in Python. Built experiments on structured datasets and communicated findings to stakeholders.",data_science,easy
5,"Experience with forecasting, feature engineering, and statistical modeling. Main focus was building models and analyzing performance.",data_science,easy
6,"Used Python, pandas, regression, and experimentation analysis for model-driven work. Focused on prediction and error analysis.",data_science,easy
7,"Worked on predictive modeling, SQL analysis, and stakeholder presentations. Also created dashboards, but most effort went into model evaluation and forecasting.",data_science,medium
8,"Experience with feature engineering, model reporting, and business communication. Some dashboard work existed, though the role stayed focused on predictive analysis.",data_science,medium
9,"Built statistical models and forecasting workflows in Python, while also supporting reporting summaries for business teams.",data_science,medium
10,"Worked on predictive modeling, SQL analysis, and stakeholder presentations. Also created dashboards, but most effort went into model evaluation and forecasting.",data_science,medium
11,"Experience with feature engineering, model reporting, and business communication. Some dashboard work existed, though the role stayed focused on predictive analysis.",data_science,medium
12,"Worked on forecasting, dashboards, and stakeholder recommendations, but the main focus was predictive modeling and model evaluation for business decisions.",data_science,hard
13,"Built model-driven analysis with feature engineering and experimentation results, while also preparing reporting summaries for product teams.",data_science,hard
14,"Used Python, SQL, and statistical modeling for predictive work, while also communicating insights through lightweight dashboards.",data_science,hard
15,"Worked on forecasting, dashboards, and stakeholder recommendations, but the main focus was predictive modeling and model evaluation for business decisions.",data_science,hard
16,"Built model-driven analysis with feature engineering and experimentation results, while also preparing reporting summaries for product teams.",data_science,hard
17,"Worked on A/B testing, retention analysis, and segmentation using SQL dashboards. Main focus was product and business decision support.",analytics,easy
18,"Experience with funnel analysis, user behavior analysis, and business insights. Built answers for stakeholder questions with data.",analytics,easy
19,"Used SQL, growth analysis, and ad hoc analysis to support product teams. Focused on understanding behavior and performance changes.",analytics,easy
20,"Worked on A/B testing, retention analysis, and segmentation using SQL dashboards. Main focus was product and business decision support.",analytics,easy
21,"Experience with funnel analysis, user behavior analysis, and business insights. Built answers for stakeholder questions with data.",analytics,easy
22,"Used SQL, growth analysis, and ad hoc analysis to support product teams. Focused on understanding behavior and performance changes.",analytics,easy
23,"Worked on segmentation, KPI dashboards, and stakeholder reporting, but the main focus was user behavior analysis and decision support.",analytics,medium
24,"Experience with A/B testing, reporting summaries, and metrics definitions. Most of the role centered on analysis rather than recurring reporting operations.",analytics,medium
25,"Built SQL dashboards and reviewed weekly KPIs, while focusing mainly on funnel analysis and business insights for product teams.",analytics,medium
26,"Worked on segmentation, KPI dashboards, and stakeholder reporting, but the main focus was user behavior analysis and decision support.",analytics,medium
27,"Experience with A/B testing, reporting summaries, and metrics definitions. Most of the role centered on analysis rather than recurring reporting operations.",analytics,medium
28,"Handled dashboards, KPI tracking, and recurring stakeholder reviews, but the main responsibility was segmentation and ad hoc analysis for product decisions.",analytics,hard
29,Worked with reporting summaries and metrics reviews together with retention analysis and funnel analysis; the role centered on insight generation rather than dashboard operations.,analytics,hard
30,"Supported business teams with KPI dashboards and stakeholder reporting, while the core work remained experimentation and user behavior analysis.",analytics,hard
31,"Handled dashboards, KPI tracking, and recurring stakeholder reviews, but the main responsibility was segmentation and ad hoc analysis for product decisions.",analytics,hard
