job_id,title,company,location,description,skills,role_family,raw_title,title_short,country,schedule_type,work_from_home,source
1,Data Scientist II,"Radwell International, LLC",Anywhere,"Title short: Data Scientist. Schedule: Full-time. Remote: True. Country: United States. Skills: azure, excel, mongodb, pandas, python, r, spark, sql, sql server, windows.",azure;excel;mongodb;pandas;python;r;spark;sql;sql server;windows,data_science,Data Scientist II,Data Scientist,United States,Full-time,True,lukebarousse/data_jobs
2,Data Science Team Lead,Johns Hopkins Applied Physics Laboratory,"Laurel, MD","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: apl, excel, go.",apl;excel;go,data_science,Data Science Team Lead,Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
3,Data Scientist,Bitwise Solutions,"Pune, Maharashtra, India","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: India. Skills: c++, hadoop, java, python, r, scala, sql, tableau.",c++;hadoop;java;python;r;scala;sql;tableau,data_science,Data Scientist,Data Scientist,India,Full-time,False,lukebarousse/data_jobs
4,Data Scientist,Devoteam,"Zaventem, Belgium","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Belgium. Skills: hadoop, matplotlib, numpy, pandas, python, r, scikit-learn, spark, sql.",hadoop;matplotlib;numpy;pandas;python;r;scikit-learn;spark;sql,data_science,Data Scientist,Data Scientist,Belgium,Full-time,False,lukebarousse/data_jobs
5,Data Scientist (DataLab Team),Semrush,Anywhere,Title short: Data Scientist. Schedule: Full-time. Remote: True. Country: Serbia. Skills: python.,python,data_science,Data Scientist (DataLab Team),Data Scientist,Serbia,Full-time,True,lukebarousse/data_jobs
6,CRM Data Specialist,Netskope,"San José Province, San José, Costa Rica","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Costa Rica. Skills: excel, gdpr.",excel;gdpr,data_science,CRM Data Specialist,Data Scientist,Costa Rica,Full-time,False,lukebarousse/data_jobs
7,Sr. Data Scientist (NLP) - Full-time / Part-time,MCKESSON,"Dallas, TX","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: azure, databricks, hadoop, nltk, pandas, pyspark, python, spark.",azure;databricks;hadoop;nltk;pandas;pyspark;python;spark,data_science,Sr. Data Scientist (NLP) - Full-time / Part-time,Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
8,Data Scientist I,Appalachian Regional Healthcare,"Paris, KY","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: United States. Skills: c++, hadoop, java, python, r, scala, sql, tableau.",c++;hadoop;java;python;r;scala;sql;tableau,data_science,Data Scientist I,Data Scientist,United States,Full-time,False,lukebarousse/data_jobs
9,Binance Accelerator Program - Data Scientist (Risk Management),Binance,Singapore,"Title short: Data Scientist. Schedule: Contractor. Remote: False. Country: Singapore. Skills: java, python, scala.",java;python;scala,data_science,Binance Accelerator Program - Data Scientist (Risk Management),Data Scientist,Singapore,Contractor,False,lukebarousse/data_jobs
10,Data Scientist SME or Program Manager,Mavinsys,"Austin, TX","Title short: Data Scientist. Schedule: Contractor. Remote: False. Country: United States. Skills: css, databricks, git, html, javascript, linux, lua, redshift, snowflake, sql, tableau.",css;databricks;git;html;javascript;linux;lua;redshift;snowflake;sql;tableau,data_science,Data Scientist SME or Program Manager,Data Scientist,United States,Contractor,False,lukebarousse/data_jobs
11,Data Scientist,Mars,"São Paulo, State of São Paulo, Brazil","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Brazil. Skills: azure, python, sql.",azure;python;sql,data_science,Data Scientist,Data Scientist,Brazil,Full-time,False,lukebarousse/data_jobs
12,Senior Data Scientist,Europcar Mobility Group,"Paris, France","Title short: Senior Data Scientist. Schedule: Full-time. Remote: False. Country: France. Skills: aws, gcp, python.",aws;gcp;python,data_science,Senior Data Scientist,Senior Data Scientist,France,Full-time,False,lukebarousse/data_jobs
13,Data Scientist,ClosedLoop,"Austin, TX","Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Sudan. Skills: go, python.",go;python,data_science,Data Scientist,Data Scientist,Sudan,Full-time,False,lukebarousse/data_jobs
14,Data Scientist,Infineon Technologies AG,"Villach, Austria","Title short: Data Scientist. Schedule: Full-time and Part-time. Remote: False. Country: Austria. Skills: git, javascript, jira, linux, matlab, perl, python, r, sql.",git;javascript;jira;linux;matlab;perl;python;r;sql,data_science,Data Scientist,Data Scientist,Austria,Full-time and Part-time,False,lukebarousse/data_jobs
15,Data Science,Pfizer,Brazil,"Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Brazil. Skills: airflow, angular, aws, git, javascript, jenkins, kubernetes, python, r, react, snowflake, sql.",airflow;angular;aws;git;javascript;jenkins;kubernetes;python;r;react;snowflake;sql,data_science,Data Science,Data Scientist,Brazil,Full-time,False,lukebarousse/data_jobs
16,Data Science Team Lead,GovTech Singapore,Singapore,"Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Singapore. Skills: python, qlik, r, tableau.",python;qlik;r;tableau,data_science,Data Science Team Lead,Data Scientist,Singapore,Full-time,False,lukebarousse/data_jobs
17,Data Scientist,Concurrent Technologies Corporation,Australia,"Title short: Data Scientist. Schedule: Full-time. Remote: False. Country: Australia. Skills: bash, git, hadoop, java, python, r, react, spark, sql, tableau, unix.",bash;git;hadoop;java;python;r;react;spark;sql;tableau;unix,data_science,Data Scientist,Data Scientist,Australia,Full-time,False,lukebarousse/data_jobs
