job_id,title,company,location,description,skills,role_family
1,Data Science Intern,SignalPath,London,"As a member of the analytics organization, you will support model development for fintech use cases. The role focuses on machine learning, model evaluation, and predictive analytics.",python;pandas;machine learning;statistics,data_science
2,Junior Data Scientist,MetricFlow,Paris,"As a member of the analytics organization, you will build baseline predictive models and evaluate performance. You will work closely with data scientists on experimentation and model performance.",python;scikit-learn;feature engineering;model evaluation;machine learning,data_science
3,Applied Data Scientist Intern,InsightHub,Barcelona,"As a member of the analytics organization, you will clean and prepare datasets for experimentation and modeling. The internship includes feature engineering, statistical analysis, and model reporting.",python;forecasting;time series;statistics;model evaluation,data_science
4,Predictive Analytics Intern,BluePeak,Prague,"As a member of the analytics organization, you will explore features and communicate model findings to stakeholders. The role focuses on machine learning, model evaluation, and predictive analytics.",python;nlp;pandas;machine learning;statistics,data_science
5,Machine Learning Analyst Intern,DashWorks,Lisbon,"As a member of the analytics organization, you will analyze experiments and support forecasting initiatives. You will work closely with data scientists on experimentation and model performance.",python;classification;regression;sql;pandas,data_science
6,Data Science Intern,QuantNova,Stockholm,"As a member of the analytics organization, you will work with structured data to improve model-driven decision making. The internship includes feature engineering, statistical analysis, and model reporting.",python;predictive modeling;experimentation;statistics;sql,data_science
7,Junior Data Scientist,VisionData,Zurich,"As a member of the analytics organization, you will support model development for fintech use cases. The role focuses on machine learning, model evaluation, and predictive analytics.",python;pandas;machine learning;statistics,data_science
8,Applied Data Scientist Intern,CoreSignals,Amsterdam,"As a member of the analytics organization, you will build baseline predictive models and evaluate performance. You will work closely with data scientists on experimentation and model performance.",python;scikit-learn;feature engineering;model evaluation;machine learning,data_science
9,Predictive Analytics Intern,TrendLoop,Madrid,"As a member of the analytics organization, you will clean and prepare datasets for experimentation and modeling. The internship includes feature engineering, statistical analysis, and model reporting.",python;forecasting;time series;statistics;model evaluation,data_science
10,Machine Learning Analyst Intern,NexaAI,Vienna,"As a member of the analytics organization, you will explore features and communicate model findings to stakeholders. The role focuses on machine learning, model evaluation, and predictive analytics.",python;nlp;pandas;machine learning;statistics,data_science
11,Data Science Intern,LumenData,Brussels,"As a member of the analytics organization, you will analyze experiments and support forecasting initiatives. You will work closely with data scientists on experimentation and model performance.",python;classification;regression;sql;pandas,data_science
12,Junior Data Scientist,DataHarbor,Copenhagen,"As a member of the analytics organization, you will work with structured data to improve model-driven decision making. The internship includes feature engineering, statistical analysis, and model reporting.",python;predictive modeling;experimentation;statistics;sql,data_science
13,Applied Data Scientist Intern,NorthGrid,Helsinki,"As a member of the analytics organization, you will support model development for fintech use cases. The role focuses on machine learning, model evaluation, and predictive analytics.",python;pandas;machine learning;statistics,data_science
14,Predictive Analytics Intern,UrbanMetrics,Berlin,"As a member of the analytics organization, you will build baseline predictive models and evaluate performance. You will work closely with data scientists on experimentation and model performance.",python;scikit-learn;feature engineering;model evaluation;machine learning,data_science
15,Machine Learning Analyst Intern,PeakIntel,Dublin,"As a member of the analytics organization, you will clean and prepare datasets for experimentation and modeling. The internship includes feature engineering, statistical analysis, and model reporting.",python;forecasting;time series;statistics;model evaluation,data_science
16,Data Science Intern,ClickSense,Munich,"As a member of the analytics organization, you will explore features and communicate model findings to stakeholders. The role focuses on machine learning, model evaluation, and predictive analytics.",python;nlp;pandas;machine learning;statistics,data_science
17,Junior Data Scientist,AlgoBridge,Warsaw,"As a member of the analytics organization, you will analyze experiments and support forecasting initiatives. You will work closely with data scientists on experimentation and model performance.",python;classification;regression;sql;pandas,data_science
18,Applied Data Scientist Intern,ModelForge,Milan,"As a member of the analytics organization, you will work with structured data to improve model-driven decision making. The internship includes feature engineering, statistical analysis, and model reporting.",python;predictive modeling;experimentation;statistics;sql,data_science
19,Predictive Analytics Intern,SupplyMind,Oslo,"As a member of the analytics organization, you will support model development for fintech use cases. The role focuses on machine learning, model evaluation, and predictive analytics.",python;pandas;machine learning;statistics,data_science
20,Machine Learning Analyst Intern,AdMetric,London,"As a member of the analytics organization, you will build baseline predictive models and evaluate performance. You will work closely with data scientists on experimentation and model performance.",python;scikit-learn;feature engineering;model evaluation;machine learning,data_science
